code,name,pop2012
1,Alabama,4822023
2,Alaska,731449
4,Arizona,6553255
5,Arkansas,2949131
6,California,38041430
8,Colorado,5187582
9,Connecticut,3590347
10,Delaware,917092
11,District of Columbia,632323
12,Florida,19317568
13,Georgia,9687653
15,Hawaii,1392313
16,Idaho,1595728
17,Illinois,12875255
18,Indiana,6537334
19,Iowa,3074186
20,Kansas,2885905
21,Kentucky,4380415
22,Louisiana,4601893
23,Maine,1329192
24,Maryland,5884563
25,Massachusetts,6646144
26,Michigan,9883360
27,Minnesota,5379139
28,Mississippi,2984926
29,Missouri,6021988
30,Montana,1005141
31,Nebraska,1855525
32,Nevada,2758931
33,New Hampshire,1320718
34,New Jersey,8864590
35,New Mexico,2085538
36,New York,19570261
37,North Carolina,9752073
38,North Dakota,699628
39,Ohio,11544225
40,Oklahoma,3814820
41,Oregon,3899353
42,Pennsylvania,12763536
43,Puerto Rico,3667084
44,Rhode Island,1050292
45,South Carolina,4723723
46,South Dakota,833354
47,Tennessee,6456243
48,Texas,26059203
49,Utah,2855287
50,Vermont,626011
51,Virginia,8185867
53,Washington,6897012
54,West Virginia,1855413
55,Wisconsin,5726398
56,Wyoming,576412
